GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median gross rent,Margin of Error; Median gross rent
1400000US17031071300,17031071300,"Census Tract 713, Cook County, Illinois",1595,185
1400000US17031071400,17031071400,"Census Tract 714, Cook County, Illinois",1410,94
1400000US17031071500,17031071500,"Census Tract 715, Cook County, Illinois",1633,93
1400000US17031071600,17031071600,"Census Tract 716, Cook County, Illinois",1618,255
1400000US17031071700,17031071700,"Census Tract 717, Cook County, Illinois",1984,510
1400000US17031071800,17031071800,"Census Tract 718, Cook County, Illinois",1640,458
1400000US17031080100,17031080100,"Census Tract 801, Cook County, Illinois",1749,85
1400000US17031080201,17031080201,"Census Tract 802.01, Cook County, Illinois",1494,235
1400000US17031080202,17031080202,"Census Tract 802.02, Cook County, Illinois",1362,79
1400000US17031080300,17031080300,"Census Tract 803, Cook County, Illinois",1868,100
1400000US17031080400,17031080400,"Census Tract 804, Cook County, Illinois",631,245
1400000US17031081000,17031081000,"Census Tract 810, Cook County, Illinois",1163,91
1400000US17031081100,17031081100,"Census Tract 811, Cook County, Illinois",1530,113
1400000US17031081201,17031081201,"Census Tract 812.01, Cook County, Illinois",1796,59
1400000US17031081202,17031081202,"Census Tract 812.02, Cook County, Illinois",1509,231
1400000US17031081300,17031081300,"Census Tract 813, Cook County, Illinois",1535,167
1400000US17031081401,17031081401,"Census Tract 814.01, Cook County, Illinois",1749,87
1400000US17031081402,17031081402,"Census Tract 814.02, Cook County, Illinois",2060,195
1400000US17031081403,17031081403,"Census Tract 814.03, Cook County, Illinois",1926,96
1400000US17031081500,17031081500,"Census Tract 815, Cook County, Illinois",1992,216
1400000US17031081600,17031081600,"Census Tract 816, Cook County, Illinois",2031,136
1400000US17031081700,17031081700,"Census Tract 817, Cook County, Illinois",1950,113
1400000US17031081800,17031081800,"Census Tract 818, Cook County, Illinois",2024,301
1400000US17031081900,17031081900,"Census Tract 819, Cook County, Illinois",756,600
1400000US17031090100,17031090100,"Census Tract 901, Cook County, Illinois",955,59
1400000US17031090200,17031090200,"Census Tract 902, Cook County, Illinois",1209,120
1400000US17031090300,17031090300,"Census Tract 903, Cook County, Illinois",1186,95
1400000US17031100100,17031100100,"Census Tract 1001, Cook County, Illinois",1128,89
1400000US17031100200,17031100200,"Census Tract 1002, Cook County, Illinois",1096,153
1400000US17031100300,17031100300,"Census Tract 1003, Cook County, Illinois",1319,242
1400000US17031100400,17031100400,"Census Tract 1004, Cook County, Illinois",1643,634
1400000US17031100500,17031100500,"Census Tract 1005, Cook County, Illinois",967,107
1400000US17031100600,17031100600,"Census Tract 1006, Cook County, Illinois",1026,126
1400000US17031100700,17031100700,"Census Tract 1007, Cook County, Illinois",1649,399
1400000US17031110100,17031110100,"Census Tract 1101, Cook County, Illinois",950,116
1400000US17031110200,17031110200,"Census Tract 1102, Cook County, Illinois",976,126
1400000US17031110300,17031110300,"Census Tract 1103, Cook County, Illinois",1019,126
1400000US17031110400,17031110400,"Census Tract 1104, Cook County, Illinois",1131,77
1400000US17031110501,17031110501,"Census Tract 1105.01, Cook County, Illinois",1009,104
1400000US17031110502,17031110502,"Census Tract 1105.02, Cook County, Illinois",1059,89
1400000US17031120100,17031120100,"Census Tract 1201, Cook County, Illinois",1594,1474
1400000US17031120200,17031120200,"Census Tract 1202, Cook County, Illinois",1310,783
1400000US17031120300,17031120300,"Census Tract 1203, Cook County, Illinois",1137,358
1400000US17031120400,17031120400,"Census Tract 1204, Cook County, Illinois",1326,59
1400000US17031130100,17031130100,"Census Tract 1301, Cook County, Illinois",404,42
1400000US17031130200,17031130200,"Census Tract 1302, Cook County, Illinois",1024,176
1400000US17031130300,17031130300,"Census Tract 1303, Cook County, Illinois",1128,74
1400000US17031140100,17031140100,"Census Tract 1401, Cook County, Illinois",1072,73
1400000US17031140200,17031140200,"Census Tract 1402, Cook County, Illinois",998,72
1400000US17031140301,17031140301,"Census Tract 1403.01, Cook County, Illinois",990,85
1400000US17031140302,17031140302,"Census Tract 1403.02, Cook County, Illinois",967,86
1400000US17031140400,17031140400,"Census Tract 1404, Cook County, Illinois",870,78
1400000US17031140500,17031140500,"Census Tract 1405, Cook County, Illinois",1050,62
1400000US17031140601,17031140601,"Census Tract 1406.01, Cook County, Illinois",949,51
1400000US17031140602,17031140602,"Census Tract 1406.02, Cook County, Illinois",1074,79
1400000US17031140701,17031140701,"Census Tract 1407.01, Cook County, Illinois",1137,90
1400000US17031140702,17031140702,"Census Tract 1407.02, Cook County, Illinois",948,79
1400000US17031140800,17031140800,"Census Tract 1408, Cook County, Illinois",1064,58
1400000US17031150200,17031150200,"Census Tract 1502, Cook County, Illinois",983,110
1400000US17031150300,17031150300,"Census Tract 1503, Cook County, Illinois",1077,125
1400000US17031150401,17031150401,"Census Tract 1504.01, Cook County, Illinois",972,102
1400000US17031150402,17031150402,"Census Tract 1504.02, Cook County, Illinois",1037,113
1400000US17031150501,17031150501,"Census Tract 1505.01, Cook County, Illinois",1066,91
